Month,Year,Charity,Cause,Status,Notes
January,2025,Daily Bread Food Bank,Toronto,donated,
January,2025,United 24,Ukraine,donated,
January,2025,Generators Drive,Ukraine,donated,
January,2025,Dinner Party Philly,,donated,
January,2025,Minnesotans Against ICE,USA,donated,
February,2025,Daily Bread Food Bank,Toronto,donated,
February,2025,United 24,Ukraine,donated,
February,2025,Ukraine Generators,Ukraine,donated,
March,2025,,,planned,
May,2025,Oxfam,Palestine,planned,
May,2025,Doctors Without Borders,,planned,
May,2025,Flotilla Samara,,donated,
May,2025,Daily Bread,Toronto,donated,
